Seed,Games
16,1
13,1
12,1
9,1
16,1
13,1
12,1
8,1
15,1
14,1
10,1
6,1
16,1
13,1
8,1
5,1
15,1
14,1
11,1
10,1
15,1
14,1
10,1
6,1
16,1
12,1
9,1
4,1
15,1
14,1
10,1
6,1
8,2
5,2
9,2
4,2
7,2
3,2
9,2
4,2
7,2
6,2
7,2
3,2
13,2
1,2
11,2
2,2
4,3
3,3
5,3
11,3
11,3
5,3
12,3
7,3
2,4
1,4
2,4
3,4
1,5
2,5
1,6
8,7
16,1
13,1
9,1
5,1
16,1
13,1
12,1
8,1
15,1
14,1
7,1
6,1
15,1
14,1
11,1
10,1
15,1
11,1
10,1
3,1
15,1
11,1
10,1
3,1
16,1
13,1
12,1
9,1
16,1
13,1
12,1
9,1
8,2
4,2
9,2
4,2
10,2
3,2
7,2
6,2
2,2
6,2
14,2
2,2
8,2
4,2
5,2
1,2
5,3
2,3
3,3
4,3
12,3
14,3
5,3
7,3
1,4
8,4
7,4
6,4
1,5
11,5
1,6
2,7
16,1
13,1
12,1
8,1
16,1
12,1
9,1
4,1
15,1
11,1
10,1
3,1
16,1
13,1
8,1
5,1
15,1
14,1
11,1
7,1
15,1
14,1
11,1
7,1
16,1
12,1
8,1
4,1
15,1
14,1
11,1
10,1
9,2
4,2
8,2
13,2
7,2
14,2
9,2
4,2
10,2
3,2
6,2
2,2
9,2
13,2
7,2
3,2
5,3
6,3
5,3
2,3
5,3
3,3
12,3
6,3
1,4
1,4
10,4
2,4
1,5
6,5
2,6
1,7
15,1
14,1
10,1
6,1
16,1
13,1
12,1
8,1
16,1
13,1
12,1
9,1
15,1
14,1
11,1
7,1
16,1
12,1
9,1
4,1
15,1
11,1
10,1
3,1
15,1
14,1
11,1
10,1
16,1
13,1
12,1
9,1
7,2
3,2
9,2
5,2
8,2
4,2
10,2
6,2
8,2
5,2
14,2
2,2
7,2
3,2
8,2
4,2
13,3
11,3
5,3
2,3
1,3
7,3
5,3
3,3
1,4
6,4
4,4
2,4
1,5
2,5
1,6
6,7
15,1
10,1
6,1
3,1
16,1
13,1
12,1
8,1
16,1
12,1
8,1
4,1
16,1
13,1
8,1
5,1
16,1
13,1
12,1
8,1
15,1
14,1
7,1
6,1
15,1
14,1
10,1
6,1
15,1
14,1
10,1
6,1
7,2
14,2
9,2
5,2
9,2
13,2
9,2
12,2
9,2
4,2
10,2
11,2
7,2
11,2
7,2
11,2
2,3
1,3
2,3
1,3
5,3
11,3
4,3
3,3
5,4
4,4
1,4
2,4
1,5
2,5
3,6
3,7
16,1
13,1
12,1
8,1
16,1
13,1
9,1
5,1
16,1
13,1
12,1
8,1
16,1
13,1
9,1
5,1
15,1
14,1
11,1
10,1
15,1
14,1
11,1
7,1
15,1
11,1
10,1
3,1
15,1
14,1
10,1
6,1
9,2
4,2
12,2
1,2
9,2
5,2
8,2
4,2
6,2
2,2
3,2
2,2
7,2
14,2
2,2
3,2
5,3
7,3
8,3
6,3
1,3
2,3
12,3
7,3
1,4
10,4
6,4
11,4
4,5
4,5
3,6
1,7
14,1
11,1
7,1
2,1
15,1
10,1
6,1
3,1
15,1
14,1
11,1
10,1
15,1
14,1
7,1
6,1
16,1
8,1
5,1
4,1
16,1
13,1
12,1
9,1
16,1
13,1
12,1
9,1
16,1
13,1
12,1
9,1
6,2
15,2
7,2
14,2
7,2
6,2
10,2
11,2
9,2
13,2
8,2
5,2
8,2
5,2
8,2
5,2
4,3
2,3
4,3
2,3
12,3
3,3
11,3
1,3
1,4
3,4
10,4
4,4
1,5
1,5
3,6
2,7
16,1
13,1
12,1
8,1
15,1
14,1
11,1
10,1
16,1
13,1
12,1
8,1
15,1
14,1
11,1
10,1
15,1
14,1
11,1
7,1
16,1
13,1
12,1
8,1
15,1
11,1
7,1
3,1
16,1
9,1
5,1
4,1
9,2
5,2
3,2
2,2
9,2
5,2
7,2
6,2
10,2
6,2
